,accession,maturity_height_type,Block,Row,Col,Plot,Trt,DOY186,DOY193,DOY200,DOY207,DOY208,DOY209,DOY210,DOY215,DOY216,DOY217,DOY221,DOY223,DOY224,DOY229,DOY231,DOY236,DOY241,DOY252,DOY266,Heading10%,Heading50,Heading90
1,PI 533919,Type1,1,1,1,10101,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,210,219,227
28,PI 533964,Type1,1,2,1,10201,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
55,PI 533841,Type1,1,3,1,10301,LN,NA,NA,0,NA,30,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,203,210,215
82,PI 533842,Type1,1,4,1,10401,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
109,PI 534127,Type1,1,5,1,10501,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,209,215,227
136,PI 533852,Type1,1,6,1,10601,LN,NA,NA,0,NA,10,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,208,213,221
163,PI 533869,Type1,1,7,1,10701,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
190,PI 533810,Type1,1,8,1,10801,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,212,217,220
217,PI 533878,Type2,1,9,1,10901,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,212,218,225
244,PI 534028,Type2,1,10,1,11001,LN,NA,NA,0,NA,5,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
271,PI 533967,Type2,1,11,1,11101,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
298,PI 48770,Type2,1,12,1,11201,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,215,218,221
325,check,Check,1,13,1,11301,LN,NA,NA,0,NA,5,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,216,220
352,PI 574455,Type2,1,14,1,11401,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
379,PI 533882,Type2,1,15,1,11501,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,215,219,226
406,PI 565121,Type2,1,16,1,11601,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,216,220
2,PI 533761,Type1,1,1,2,10102,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,216,219,225
29,PI 534128,Type1,1,2,2,10202,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,217,220
56,PI 533856,Type1,1,3,2,10302,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,216,223,229
83,PI 533757,Type1,1,4,2,10402,LN,NA,NA,0,NA,20,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,211,214
110,check,Check,1,5,2,10502,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,214,220
137,PI 533845,Type1,1,6,2,10602,LN,NA,NA,0,NA,10,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,208,212,218
164,PI 533901,Type1,1,7,2,10702,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,214,220
191,PI 534155,Type1,1,8,2,10802,LN,NA,NA,0,NA,10,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,208,217,220
218,PI 576380,Type2,1,9,2,10902,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,217,221
245,PI 576130,Type2,1,10,2,11002,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,100,NA,NA,NA,NA,NA,221,225,228
272,PI 276837,Type2,1,11,2,11102,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,255,266,NA
299,PI 533789,Type2,1,12,2,11202,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,214,225
326,PI 533927,Type2,1,13,2,11302,LN,NA,NA,NA,NA,0,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,215
353,PI 542406,Type2,1,14,2,11402,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40,100,NA,NA,231,237,240
380,PI 24969,Type2,1,15,2,11502,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,216,221,229
407,PI 576359,Type2,1,16,2,11602,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
3,PI 534096,Type1,1,1,3,10103,LN,NA,NA,0,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
30,PI 533822,Type1,1,2,3,10203,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
57,PI 534157,Type1,1,3,3,10303,LN,NA,NA,0,NA,5,NA,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,209,215,221
84,PI 534112,Type1,1,4,3,10403,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,216,221
111,PI 534054,Type1,1,5,3,10503,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,215,218,221
138,check,Check,1,6,3,10603,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
165,PI 534148,Type1,1,7,3,10703,LN,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,218
192,PI 533821,Type1,1,8,3,10803,LN,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,218
219,PI 576345,Type2,1,9,3,10903,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
246,PI 34911,Type2,1,10,3,11003,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,100,NA,NA,232,238,240
273,check,Check,1,11,3,11103,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
300,PI 533989,Type2,1,12,3,11203,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,215,219,226
327,PI 533824,Type2,1,13,3,11303,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,212,218,221
354,PI 533799,Type2,1,14,3,11403,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
381,PI 561472,Type2,1,15,3,11503,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
408,PI 561071,Type2,1,16,3,11603,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,216,219,229
4,PI 576422,Type1,1,1,4,10104,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,213,221
31,PI 564164,Type1,1,2,4,10204,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,210,216,225
58,check,Check,1,3,4,10304,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,209,215,221
85,PI 642791,Type1,1,4,4,10404,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,215,218,221
112,PI 597973,Type1,1,5,4,10504,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,216,220
139,PI 607931,Type1,1,6,4,10604,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,216,218,221
166,PI 655978,Type1,1,7,4,10704,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,216,218,220
193,PI 576376,Type1,1,8,4,10804,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
220,PI 597960,Type2,1,9,4,10904,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
247,PI 656042,Type2,1,10,4,11004,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,216,220,227
274,PI 576428,Type2,1,11,4,11104,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,90,NA,NA,NA,NA,100,NA,NA,NA,210,217,221
301,PI 656023,Type2,1,12,4,11204,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,209,214,226
328,PI 656014,Type2,1,13,4,11304,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,210,217,225
355,PI 656008,Type2,1,14,4,11404,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,216,220,227
382,PI 656036,Type2,1,15,4,11504,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,90,NA,100,NA,NA,NA,222,225,229
409,PI 656032,Type2,1,16,4,11604,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,90,NA,NA,NA,222,227,236
5,PI 534163,Type1,1,1,5,10105,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,60,NA,100,NA,NA,NA,221,227,234
32,PI 576386,Type1,1,2,5,10205,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,50,90,NA,NA,223,236,241
59,PI 576333,Type1,1,3,5,10305,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,210,216,225
86,PI 576373,Type1,1,4,5,10405,LN,NA,NA,0,NA,5,NA,NA,70,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,209,213,229
113,PI 655972,Type1,1,5,5,10505,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,215,218,220
140,PI 655976,Type1,1,6,5,10605,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,210,217,225
167,PI 561072,Type1,1,7,5,10705,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,216,221
194,PI 655997,Type1,1,8,5,10805,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,70,NA,NA,90,NA,100,NA,NA,NA,215,219,229
221,PI 656041,Type2,1,9,5,10905,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,100,NA,NA,NA,222,227,234
248,PI 642992,Type2,1,10,5,11005,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,100,NA,NA,NA,222,227,234
275,PI 601816,Type2,1,11,5,11105,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40,100,NA,NA,231,237,240
302,PI 651496,Type2,1,12,5,11205,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,100,NA,NA,NA,221,226,234
329,PI 656024,Type2,1,13,5,11305,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,90,NA,NA,NA,NA,NA,221,225,229
356,PI 655970,Type2,1,14,5,11405,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,216,221
383,PI 656037,Type2,1,15,5,11505,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,212,218,225
410,PI 656044,Type2,1,16,5,11605,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
6,PI 576418,Type1,1,1,6,10106,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,216,223,229
33,PI 576375,Type1,1,2,6,10206,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,217,220
60,PI 561073,Type1,1,3,6,10306,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,216,221,229
87,PI 656001,Type1,1,4,6,10406,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,215,219,225
114,PI 576401,Type1,1,5,6,10506,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,212,221,229
141,PI 656012,Type1,1,6,6,10606,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,NA,NA,90,NA,NA,NA,NA,NA,217,224,229
168,check,Check,1,7,6,10706,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
195,PI 656011,Type1,1,8,6,10806,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,NA,70,NA,100,NA,NA,NA,216,224,234
222,PI 656028,Type2,1,9,6,10906,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,216,220,227
249,PI 655995,Type2,1,10,6,11006,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,216,219,229
276,PI 595739,Type2,1,11,6,11106,LN,NA,NA,0,NA,5,NA,NA,30,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,209,219,227
303,check,Check,1,12,6,11206,LN,NA,NA,0,NA,5,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
330,PI 597964,Type2,1,13,6,11306,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,215,219,226
357,PI 609456,Type2,1,14,6,11406,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,50,NA,NA,60,NA,NA,NA,100,NA,210,221,246
384,PI 576391,Type2,1,15,6,11506,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,215,219,229
411,check,Check,1,16,6,11606,LN,NA,NA,0,NA,5,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
7,PI 655984,Type1,1,1,7,10107,LN,NA,NA,0,NA,5,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
34,PI 653616,Type1,1,2,7,10207,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,90,NA,NA,NA,NA,NA,222,225,229
61,PI 656072,Type1,1,3,7,10307,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,90,NA,NA,NA,229,232,236
88,PI 656071,Type1,1,4,7,10407,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,216,221,229
115,PI 656058,Type1,1,5,7,10507,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,216,218,221
142,PI 659695,Type1,1,6,7,10607,LN,NA,NA,0,NA,10,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,215
169,PI 656059,Type1,1,7,7,10707,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,80,NA,NA,NA,100,NA,221,226,240
196,PI 656097,Type1,1,8,7,10807,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,215,220,227
223,PI 656068,Type2,1,9,7,10907,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,215,218,221
250,PI 656107,Type2,1,10,7,11007,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,NA,100,NA,NA,NA,222,226,232
277,PI 656051,Type2,1,11,7,11107,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,90,NA,NA,NA,221,226,236
304,PI 656073,Type2,1,12,7,11207,LN,NA,NA,0,NA,80,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,201,205,221
331,PI 656111,Type2,1,13,7,11307,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
358,PI 656049,Type2,1,14,7,11407,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,216,219,225
385,PI 655990,Type2,1,15,7,11507,LN,NA,NA,0,NA,50,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,208,218
412,Tx430,Check2,1,16,7,11607,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
8,PI 656027,Type1,1,1,8,10108,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,100,NA,NA,NA,NA,NA,221,225,228
35,PI 656079,Type1,1,2,8,10208,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,212,218,225
62,PI 656118,Type1,1,3,8,10308,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,217,220
89,PI 641836,Type1,1,4,8,10408,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,NA,90,NA,NA,NA,224,231,236
116,PI 656082,Type1,1,5,8,10508,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,100,NA,NA,NA,222,227,234
143,PI 656093,Type1,1,6,8,10608,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,215,225
170,PI 656018,Type1,1,7,8,10708,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,NA,80,NA,90,NA,NA,NA,216,223,236
197,check,Check,1,8,8,10808,LN,NA,NA,0,NA,5,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
224,PI 656062,Type2,1,9,8,10908,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,80,NA,100,NA,NA,NA,221,226,232
251,PI 656083,Type2,1,10,8,11008,LN,NA,NA,0,NA,10,NA,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,208,217,229
278,PI 656099,Type2,1,11,8,11108,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,80,100,NA,NA,223,229,238
305,Tx430,Check2,1,12,8,11208,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,215,218,221
332,PI 655988,Type2,1,13,8,11308,LN,NA,NA,0,NA,30,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,210,215
359,PI 656038,Type2,1,14,8,11408,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
386,Tx430,Check2,1,15,8,11508,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,215,225
413,PI 656086,Type2,1,16,8,11608,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,213,225
9,PI 656056,Type1,1,1,9,10109,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,60,NA,NA,80,NA,90,NA,NA,NA,216,220,236
36,check,Check,1,2,9,10209,LN,NA,NA,0,NA,15,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,205,212,219
63,PI 641824,Type1,1,3,9,10309,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,70,NA,100,NA,NA,NA,216,221,234
90,PI 656031,Type1,1,4,9,10409,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
117,PI 656075,Type1,1,5,9,10509,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,100,NA,NA,NA,221,226,234
144,PI 656100,Type1,1,6,9,10609,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,40,NA,NA,80,NA,100,NA,NA,NA,215,223,232
171,PI 659691,Type1,1,7,9,10709,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,80,100,NA,NA,230,233,238
198,PI 566819,Type1,1,8,9,10809,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,70,100,NA,NA,230,234,239
225,check,Check,1,9,9,10909,LN,NA,NA,0,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,208,213,219
252,PI 656092,Type2,1,10,9,11009,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20,NA,NA,100,NA,NA,NA,NA,NA,218,224,228
279,PI 656076,Type2,1,11,9,11109,LN,NA,NA,0,NA,5,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,214,220
306,PI 656048,Type2,1,12,9,11209,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
333,PI 656064,Type2,1,13,9,11309,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20,NA,NA,90,NA,NA,NA,NA,NA,218,224,229
360,check,Check,1,14,9,11409,LN,NA,NA,NA,NA,0,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,215
387,PI 656057,Type2,1,15,9,11509,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,100,NA,NA,231,237,240
414,PI 659753,Type2,1,16,9,11609,LN,NA,NA,0,NA,5,NA,NA,10,NA,NA,NA,NA,NA,20,NA,80,100,NA,NA,215,232,238
10,PI 533936,Type3,1,1,10,10110,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,213,225
37,PI 533769,Type3,1,2,10,10210,LN,NA,NA,0,NA,80,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,201,205,215
64,PI 533754,Type3,1,3,10,10310,LN,NA,NA,0,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
91,PI 533766,Type3,1,4,10,10410,LN,NA,NA,0,NA,40,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,209,215
118,PI 533833,Type3,1,5,10,10510,LN,NA,NA,0,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,214
145,PI 533979,Type3,1,6,10,10610,LN,NA,NA,0,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
172,PI 534097,Type3,1,7,10,10710,LN,NA,NA,0,NA,30,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,203,213,220
199,PI 533785,Type3,1,8,10,10810,LN,NA,NA,0,NA,20,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,211,215
226,PI 533776,Type4,1,9,10,10910,LN,NA,NA,0,NA,20,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,204,212,219
253,PI 533986,Type4,1,10,10,11010,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,213,225
280,PI 533954,Type4,1,11,10,11110,LN,NA,NA,0,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
307,PI 533866,Type4,1,12,10,11210,LN,NA,NA,0,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,214
334,PI 533948,Type4,1,13,10,11310,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
361,PI 533830,Type4,1,14,10,11410,LN,NA,NA,0,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
388,PI 533758,Type4,1,15,10,11510,LN,NA,NA,0,NA,40,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,202,209,215
415,PI 533955,Type4,1,16,10,11610,LN,NA,NA,0,NA,20,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,204,212,221
11,PI 533996,Type3,1,1,11,10111,LN,NA,NA,0,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,210,214
38,PI 534046,Type3,1,2,11,10211,LN,NA,NA,0,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,213
65,check,Check,1,3,11,10311,LN,NA,NA,0,NA,5,NA,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,209,215,221
92,PI 534075,Type3,1,4,11,10411,LN,NA,NA,0,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,213
119,PI 534047,Type3,1,5,11,10511,LN,NA,NA,0,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
146,check,Check,1,6,11,10611,LN,NA,NA,0,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,214
